Bandwidth_F1	Centroid	Std Dev	F1_Freq	F2_Freq	F1_Amp	F2_Amp	nPeaks	P0_Amp	P0_Freq	P1_Amp	P1_Fre	Filename	Vowel	Directionality	Context
79.2697	3135	196	281.25	796.875	20.5909	12.6405	70	20.4278	125	35.984	390.625	abd_0.txt.nfeats	oh	NV	m
66.2923	3222	201	281.25	812.5	22.9819	26.5877	13	22.0574	125	35.1075	390.625	abd_0.txt.nfeats	oh	NV	m
86.8747	3222	201	296.875	843.75	15.6668	14.0088	37	20.0441	140.625	33.001	406.25	abd_0.txt.nfeats	oh	NV	m
58.116	3326	208	343.75	1000	21.9251	11.8986	52	34.2092	203.125	33.7	609.375	abd_0.txt.nfeats	oh	NV	m
43.318	3350	209	359.375	1046.88	26.5971	13.5643	36	33.029	203.125	32.1334	421.875	abd_0.txt.nfeats	oh	NV	m
27.7972	3430	214	390.625	1171.88	45.1119	10.8323	11	32.2877	203.125	35.3695	421.875	abd_0.txt.nfeats	oh	NV	m
17.1742	3418	213	390.625	1250	61.1425	8.50289	6	32.2942	187.5	40.069	406.25	abd_0.txt.nfeats	oh	NV	m
114.962	3643	227	703.125	1796.88	5.62778	3.26614	6	31.2985	46.875	20.0654	625	abd_101.txt.nfeats	A	VN	m
137.618	3698	231	671.875	1562.5	5.06097	3.00605	3	38.8715	0	16.9837	859.375	abd_101.txt.nfeats	A	VN	m
254.976	3661	229	531.25	1578.12	4.14011	2.82615	5	36.3466	0	16.9111	656.25	abd_101.txt.nfeats	A	VN	m
163.817	3777	236	640.625	1703.12	4.79679	4.69873	5	39.4367	0	21.4828	593.75	abd_101.txt.nfeats	A	VN	m
143.024	3756	234	609.375	1718.75	5.49986	6.1818	10	30.5318	0	20.8753	562.5	abd_101.txt.nfeats	A	VN	m
144.41	3659	228	562.5	1640.62	5.3556	4.55327	9	32.0286	0	20.3775	593.75	abd_101.txt.nfeats	A	VN	m
188.261	3933	245	640.625	1640.62	4.91555	4.84943	7	36.0439	0	21.4346	906.25	abd_101.txt.nfeats	A	VN	m
139.815	3732	233	171.875	1234.38	10.5942	2.16279	29	23.7973	62.5	26.057	250	abd_101.txt.nfeats	A	VN	m
98.9292	3792	237	187.5	1468.75	12.8622	3.61427	28	25.3136	62.5	23.6798	546.875	abd_101.txt.nfeats	A	VN	m
372.364	3777	236	656.25	1484.38	3.46725	3.66774	4	34.9077	31.25	16.7097	1578.12	abd_101.txt.nfeats	A	VN	m
197.065	3695	231	609.375	1593.75	3.6324	3.64627	5	32.4914	0	16.2011	1656.25	abd_101.txt.nfeats	A	VN	m
217.184	3779	236	328.125	1578.12	7.73607	4.30701	8	39.2226	0	29.0396	265.625	abd_101.txt.nfeats	A	VN	m
299.891	3647	228	1562.5	1750	3.85529	3.76542	7	38.0643	0	17.7347	1703.12	abd_101.txt.nfeats	A	VN	m
360.07	3582	224	93.75	1312.5	18.8738	3.87101	6	0	0	32.5212	78.125	abd_101.txt.nfeats	A	NV	m
81.2322	3699	231	171.875	1218.75	12.3486	2.91923	25	24.4358	109.375	25.1044	234.375	abd_101.txt.nfeats	A	NV	m
174.595	3933	245	31.25	890.625	13.9562	3.07268	60	23.3837	15.625	24.5352	578.125	abd_101.txt.nfeats	A	NV	m
267.951	2957	185	1078.12	2000	2.18345	1.66769	5	37.5654	15.625	17.0948	1000	abd_101.txt.nfeats	A	NV	m
197.865	3624	226	1625	2546.88	1.70735	1.26367	4	42.6771	46.875	14.5655	1765.62	abd_101.txt.nfeats	A	NV	m
76.6083	3195	199	46.875	1468.75	25.1374	2.30602	12	0	0	29.5953	62.5	abd_101.txt.nfeats	A	NV	m
150.731	3787	236	1265.62	1828.12	3.8493	2.50805	12	27.9778	62.5	18.2432	1218.75	abd_101.txt.nfeats	A	NV	m
48.2159	3195	199	375	1421.88	21.8052	5.52335	20	32.7703	187.5	28.684	437.5	abd_101.txt.nfeats	oh	NV	m
36.4184	3603	225	546.875	1421.88	39.7938	13.0406	14	36.3483	406.25	36.3259	593.75	abd_101.txt.nfeats	oh	NV	m
24.213	3553	222	609.375	1453.12	42.5304	10.167	10	31.8866	390.625	36.1828	765.625	abd_101.txt.nfeats	oh	NV	m
25.0278	3827	239	640.625	1484.38	40.4467	17.1819	16	36.0368	562.5	37.6847	750	abd_101.txt.nfeats	oh	NV	m
27.3099	3743	234	687.5	1484.38	30.9632	16.049	22	29.0804	546.875	32.4026	734.375	abd_101.txt.nfeats	oh	NV	m
26.1663	3555	222	703.125	1468.75	31.4685	10.7437	11	26.006	343.75	31.1406	718.75	abd_101.txt.nfeats	oh	NV	m
10.5817	2955	184	203.125	1046.88	107.204	3.26624	4	30.0663	125	39.857	203.125	abd_101.txt.nfeats	A	VN	m
6.35428	3055	191	187.5	1000	237.078	3.28003	2	35.8604	125	44.3858	203.125	abd_101.txt.nfeats	A	VN	m
10.8269	3013	188	187.5	1046.88	94.5259	2.76769	5	28.1599	125	37.9011	203.125	abd_101.txt.nfeats	A	VN	m
5.98542	3015	188	187.5	1343.75	186.055	3.15118	3	31.8441	109.375	46.975	187.5	abd_101.txt.nfeats	A	VN	m
12.2755	3111	194	187.5	1187.5	72.0206	2.27888	5	27.3987	125	36.0359	203.125	abd_101.txt.nfeats	A	VN	m
8.11727	3201	200	187.5	1343.75	104.571	1.736	3	26.7128	109.375	41.2746	187.5	abd_101.txt.nfeats	A	VN	m
8.5844	3023	189	187.5	1093.75	125.439	2.31321	3	29.0615	109.375	44.2319	187.5	abd_101.txt.nfeats	A	VN	m
31.7414	3038	190	218.75	1156.25	30.6152	3.00661	13	22.9583	125	33.3149	203.125	abd_101.txt.nfeats	A	VN	m
461.834	3047	190	125	375	13.4776	24.9125	19	19.2091	125	31.8665	203.125	abd_101.txt.nfeats	A	VN	m
19.8363	3220	201	406.25	1859.38	73.7991	6.20325	8	38.8831	203.125	40.7897	437.5	abd_101.txt.nfeats	A	VN	m
20.679	3267	204	406.25	750	47.2076	5.22164	9	34.7796	203.125	37.8051	437.5	abd_101.txt.nfeats	A	VN	m
19.431	3484	217	406.25	531.25	82.7791	23.0016	8	35.7059	203.125	0	0	abd_101.txt.nfeats	A	VN	m
15.6502	3436	214	421.875	718.75	57.0716	5.4351	7	30.1787	218.75	39.2233	437.5	abd_101.txt.nfeats	A	VN	m
11.9149	3674	229	421.875	765.625	77.0959	5.5902	4	31.8444	218.75	41.9087	437.5	abd_101.txt.nfeats	A	VN	m
24.0726	3310	207	250	921.875	39.1906	2.4031	10	29.6388	171.875	32.9001	250	abd_101.txt.nfeats	A	NV	m
28.9337	3870	242	375	2062.5	42.5892	11.9117	11	38.0454	218.75	40.5617	437.5	abd_101.txt.nfeats	A	NV	m
42.425	3629	226	328.125	1921.88	27.0967	6.04404	17	35.9591	218.75	35.148	437.5	abd_101.txt.nfeats	A	NV	m
46.0556	3832	239	296.875	1953.12	29.565	12.7137	19	40.3148	203.125	32.503	437.5	abd_101.txt.nfeats	A	NV	m
50.3958	3675	229	296.875	2015.62	21.9447	9.08373	21	36.3691	203.125	34.13	437.5	abd_101.txt.nfeats	A	NV	m
46.8696	3781	236	390.625	1468.75	29.1518	2.45884	18	34.0012	203.125	38.4616	437.5	abd_101.txt.nfeats	A	NV	m
15.0622	3274	204	171.875	1156.25	165.556	5.72779	6	34.8538	93.75	48.8123	171.875	abd_101.txt.nfeats	oh	NV	m
26.8978	3107	194	203.125	1093.75	42.3815	3.39938	11	24.3771	109.375	36.371	187.5	abd_101.txt.nfeats	oh	NV	m
60.0898	3621	226	265.625	1140.62	29.3439	3.66736	30	38.6173	171.875	34.573	343.75	abd_101.txt.nfeats	oh	NV	m
52.1456	3959	247	265.625	1281.25	18.2132	2.11522	23	22.5594	0	29.2996	187.5	abd_101.txt.nfeats	oh	NV	m
45.6091	4358	272	265.625	1218.75	11.7711	7.39536	152	23.1897	140.625	23.7903	312.5	abd_101.txt.nfeats	oh	NV	m
29.5002	3294	206	296.875	1156.25	24.8804	2.39384	12	25.7515	203.125	27.3644	375	abd_101.txt.nfeats	oh	NV	m
14.3845	3325	208	328.125	1187.5	127.227	4.12223	6	44.093	203.125	43.2919	421.875	abd_101.txt.nfeats	oh	NV	m
20.9976	3190	199	359.375	1250	65.1426	2.44404	8	39.5228	203.125	39.205	421.875	abd_101.txt.nfeats	oh	NV	m
17.388	3375	211	359.375	1234.38	96.2807	4.246	7	44.6364	203.125	49.7827	406.25	abd_101.txt.nfeats	oh	NV	m
21.8983	3440	215	343.75	1296.88	85.5358	3.84958	9	44.6599	203.125	48.1042	406.25	abd_101.txt.nfeats	oh	NV	m
27.1379	3437	214	328.125	1406.25	72.0471	2.97322	11	44.2303	203.125	46.3356	406.25	abd_101.txt.nfeats	oh	NV	m
