Amp_P0 Freq_P0 Amp_P1 Freq_P1 Filename BW_F1 BW_F2 BW_F3 BW_F4 Centroid Std_Dev Freq_F1 Freq_F2 Freq_F3 Freq_4 Amp_F1 Amp_F2 Amp_F3 Amp_F4 nPeaksDB
27.0127 218.75 18.236 1406.25 abd_0.txt 226.824 266.28 187.097 210.045 3503 219 609.375 1546.88 2234.38 3187.5 3.93694 2.07472 1.90827 0.963957 14
28.327 265.625 17.8101 718.75 abd_0.txt 338.435 180.803 211.59 219.487 3603 225 765.625 1812.5 2562.5 3609.38 3.47636 2.42473 1.46839 0.777887 20
31.8145 0 19.888 1203.12 abd_0.txt 277.13 163.996 265.119 331.877 3690 230 968.75 1796.88 2765.62 3625 3.47804 2.96599 1.22348 0.740332 9
33.236 46.875 23.1481 562.5 abd_0.txt 201.464 168.016 176.545 151.593 3720 232 500 1468.75 2125 3046.88 6.13115 3.29917 2.21179 1.22688 9
38.8131 46.875 22.4925 390.625 abd_0.txt 238.775 180.992 192.297 282.999 3585 224 468.75 1421.88 2375 2937.5 5.88407 2.64118 1.75818 1.00964 4
40.3271 46.875 22.0494 609.375 abd_0.txt 193.821 180.834 128.103 148.306 3819 238 625 1500 2109.38 3187.5 4.87661 3.37493 2.8658 1.06853 2
31.9532 46.875 23.6658 562.5 abd_0.txt 262.838 155.149 106.908 115.146 3537 221 375 1406.25 2093.75 3250 6.77777 3.19242 2.70541 1.11717 7
36.6637 31.25 27.7022 218.75 abd_0.txt 319.109 128.679 147.539 211.002 3783 236 234.375 1437.5 2296.88 3375 11.2824 3.53332 1.94449 0.866845 5
30.8857 0 30.0316 218.75 abd_0.txt 59.6434 184.317 136.279 230.957 3578 223 140.625 1234.38 2015.62 3156.25 23.0112 2.80493 2.52137 0.954912 20
29.7746 0 28.0695 218.75 abd_0.txt 87.3315 206.293 109.284 540.253 3714 232 187.5 1000 1968.75 2859.38 18.189 3.4989 3.03631 0.889429 26
20.4665 78.125 27.0702 281.25 abd_0.txt 86.858 191.412 86.2432 180.716 3755 234 281.25 1078.12 1968.75 2953.12 10.4116 3.05079 3.52493 1.11028 37
31.2985 46.875 20.0654 625 abd_0.txt 114.962 144.648 354.687 304.471 3643 227 703.125 1796.88 2328.12 2953.12 5.62778 3.26614 1.80086 1.01967 6
38.8715 0 16.9837 859.375 abd_0.txt 137.618 153.292 154.167 305.76 3698 231 671.875 1562.5 2390.62 2953.12 5.06097 3.00605 2.21735 0.961969 3
36.3466 0 16.9111 656.25 abd_0.txt 254.976 165.407 141.773 339.727 3661 229 531.25 1578.12 2312.5 3593.75 4.14011 2.82615 2.23142 0.716389 5
39.4367 0 21.4828 593.75 abd_0.txt 163.817 81.666 318.505 268.917 3777 236 640.625 1703.12 2562.5 3640.62 4.79679 4.69873 1.14267 0.936279 5
30.5318 0 20.8753 562.5 abd_0.txt 143.024 51.6354 264.356 317.661 3756 234 609.375 1718.75 2937.5 3671.88 5.49986 6.1818 1.2263 1.08772 10
32.0286 0 20.3775 593.75 abd_0.txt 144.41 75.2147 217.167 180.638 3659 228 562.5 1640.62 2515.62 3375 5.3556 4.55327 1.4713 1.2199 9
36.0439 0 21.4346 906.25 abd_0.txt 188.261 83.1385 169.653 165.97 3933 245 640.625 1640.62 2718.75 3625 4.91555 4.84943 1.73707 1.30498 7
23.7973 62.5 26.057 250 abd_0.txt 139.815 638.927 72.9486 157.298 3732 233 171.875 1234.38 1765.62 2921.88 10.5942 2.16279 4.9217 1.41231 29
25.3136 62.5 23.6798 546.875 abd_0.txt 98.9292 307.847 97.6836 155.5 3792 237 187.5 1468.75 1781.25 2921.88 12.8622 3.61427 5.20113 1.358 28
34.9077 31.25 16.7097 1578.12 abd_0.txt 372.364 231.524 178.639 356.952 3777 236 656.25 1484.38 1984.38 3156.25 3.46725 3.66774 3.18908 1.0052 4
32.4914 0 16.2011 1656.25 abd_0.txt 197.065 115.759 154.699 158.168 3695 231 609.375 1593.75 2250 3406.25 3.6324 3.64627 2.14461 1.27107 5
39.2226 0 29.0396 265.625 abd_0.txt 217.184 92.8907 135.009 148.457 3779 236 328.125 1578.12 2234.38 3265.62 7.73607 4.30701 2.43729 1.27874 8
38.0643 0 17.7347 1703.12 abd_0.txt 299.891 195.996 290.068 188.2 3647 228 1562.5 1750 2921.88 3828.12 3.85529 3.76542 1.08281 0.88228 7
29.5726 0 21.8869 1500 abd_0.txt 212.637 68.3139 169.653 612.936 3636 227 609.375 1546.88 2390.62 3703.12 4.17739 6.19887 1.68253 0.851799 10
30.9423 0 21.1097 515.625 abd_0.txt 147.244 60.1189 97.1528 216.832 3740 233 593.75 1531.25 2296.88 3390.62 4.36261 5.69649 2.40086 0.835414 8
30.6654 0 21.343 765.625 abd_0.txt 314.331 345.51 154.765 501.33 3810 238 406.25 1578.12 2203.12 2984.38 7.0316 2.51064 3.00857 0.892666 16
38.0192 0 16.3154 1406.25 abd_0.txt 227.416 433.223 142.927 275.609 3605 225 1296.88 1687.5 2359.38 3765.62 3.5822 2.82335 2.4786 0.658612 13
32.0548 0 18.44 609.375 abd_0.txt 205.776 97.9465 89.5784 213.304 3769 235 468.75 1468.75 2375 3421.88 5.74007 4.02832 2.73987 0.843022 11
29.1182 62.5 18.4371 609.375 abd_0.txt 160.457 89.539 83.4654 191.93 3628 226 546.875 1484.38 2406.25 3375 4.53127 3.42518 2.42085 0.824603 6
35.606 62.5 16.374 1218.75 abd_0.txt 228.501 107.223 87.759 166.72 3752 234 578.125 1406.25 2343.75 3359.38 3.5413 3.34777 2.4337 1.00966 3
0 0 32.5212 78.125 abd_0.txt 360.07 94.5951 90.9716 176.349 3582 224 93.75 1312.5 2281.25 3250 18.8738 3.87101 2.44492 0.924845 6
24.4358 109.375 25.1044 234.375 abd_0.txt 81.2322 158.411 124.366 250.788 3699 231 171.875 1218.75 2031.25 3000 12.3486 2.91923 2.77345 1.07527 25
23.3837 15.625 24.5352 578.125 abd_0.txt 174.595 395.009 159.859 472.292 3933 245 31.25 890.625 1968.75 2328.12 13.9562 3.07268 2.86811 1.73291 60
37.5654 15.625 17.0948 1000 abd_0.txt 267.951 182.633 321.021 615.801 2957 185 1078.12 2000 3093.75 3687.5 2.18345 1.66769 0.732503 0.587265 5
42.6771 46.875 14.5655 1765.62 abd_0.txt 197.865 166.337 113.008 522.084 3624 226 1625 2546.88 3687.5 5109.38 1.70735 1.26367 1.06259 0.965768 4
0 0 29.5953 62.5 abd_0.txt 76.6083 169.149 437.838 137.14 3195 199 46.875 1468.75 1515.62 2609.38 25.1374 2.30602 2.2428 1.27577 12
27.9778 62.5 18.2432 1218.75 abd_0.txt 150.731 219.597 134.634 210.296 3787 236 1265.62 1828.12 2734.38 4062.5 3.8493 2.50805 1.71133 0.85205 12
30.1969 62.5 21.3284 656.25 abd_0.txt 150.238 167.387 258.948 199.652 3791 237 625 1656.25 2437.5 3031.25 4.60752 2.47224 1.69146 1.33388 9
28.6533 0 21.6108 515.625 abd_0.txt 146.054 177.197 236.733 174.543 3976 248 500 1781.25 2203.12 3015.62 6.45981 2.9867 2.43148 1.31773 13
26.2781 0 27.8449 312.5 abd_0.txt 104.95 258.348 163.11 520.678 3676 229 218.75 1500 2140.62 3187.5 12.564 2.83023 2.80314 0.69832 32
0 0 35.4522 62.5 abd_0.txt 75.9672 158.453 130.63 305.365 3784 236 78.125 1140.62 2046.88 2515.62 28.6277 3.57935 3.23166 1.45423 14
34.256 46.875 17.0614 1859.38 abd_0.txt 183.495 101.209 243.522 214.303 3655 228 1203.12 2093.75 3000 4218.75 2.81386 3.31108 0.948663 0.722437 8
30.0166 62.5 19.4717 718.75 abd_0.txt 173.217 214.871 145.395 314.206 3955 247 625 1593.75 2328.12 3187.5 4.68674 2.42722 2.48858 0.948019 8
29.3023 93.75 20.504 750 abd_0.txt 202.033 123.336 168.868 156.592 3647 228 687.5 1937.5 2640.62 3953.12 4.84868 2.82794 1.51034 0.972849 23
33.3671 46.875 20.7324 1890.62 abd_0.txt 280.475 125.837 321.784 936.495 3776 236 1109.38 2000 2812.5 4125 2.8988 3.57919 1.09942 0.805548 9
31.0374 0 20.4455 765.625 abd_0.txt 155.097 251.98 150.41 291.841 3527 220 671.875 1671.88 2453.12 3718.75 5.11389 2.00727 1.98733 0.748826 6
34.6486 828.125 36.802 921.875 abd_0.txt 39.0822 153.536 45.6248 130.007 3746 234 859.375 1203.12 2375 3640.62 40.5809 9.86147 4.24206 0.664446 20
25.4859 812.5 30.8402 1000 abd_0.txt 54.3469 46.0874 17.1348 107.158 3792 237 859.375 1250 2484.38 3578.12 21.9248 17.1907 7.98731 0.732585 20
