Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_00,A,281.25,44.34,140.63,39.23,44.34,6.90,37.44,953.13,10.87,33.46,1.00
Bd_00,i,562.50,25.98,93.75,37.72,38.10,24.04,1.94,906.25,16.67,9.30,1.00
Bd_03,ee,281.25,36.36,93.75,34.23,38.36,8.65,27.71,984.38,2.80,33.56,1.00
Bd_05,ee,343.75,45.02,125.00,48.50,52.98,15.12,29.90,921.88,14.29,30.73,1.00
Bd_06,oh,312.50,44.89,134.99,42.56,44.89,34.01,10.89,937.50,13.14,31.75,1.00
Bd_06,ee,312.50,35.25,160.08,35.63,35.25,36.02,-0.77,875.00,16.00,19.25,1.00
Bd_06,oh,375.00,47.44,125.00,49.11,44.82,49.11,-1.66,1000.00,31.48,15.96,1.00
Bd_06,A,343.75,36.42,125.00,45.48,42.04,45.48,-9.06,890.63,4.59,31.82,1.00
Bd_06,oh,281.25,47.75,125.00,43.11,47.75,22.38,25.36,937.50,13.65,34.09,1.00
Bd_06,A,406.25,37.25,125.00,39.12,36.80,42.00,-4.74,1000.00,11.96,25.29,1.00
Bd_06,ee,277.34,40.99,117.19,30.93,40.93,12.73,28.26,981.45,5.34,35.65,1.00
Bd_07,A,375.00,46.80,187.50,46.80,46.80,17.56,29.24,937.50,12.92,33.88,1.00
Bd_07,i,359.38,42.37,93.75,38.09,38.68,16.42,25.95,906.25,8.75,33.63,1.00
Bd_09,i,312.50,27.44,88.63,24.15,26.52,14.77,12.66,937.50,-2.46,29.90,1.00
Bd_09,i,437.50,47.58,151.36,43.13,46.67,37.93,9.65,875.00,19.03,28.55,1.00
Bd_09,E,625.00,30.29,156.25,52.68,47.31,52.68,-22.39,875.00,25.44,4.85,1.00
Bd_09,A,281.25,40.97,156.25,42.46,42.19,42.46,-1.50,968.75,1.24,39.73,1.00
Bd_09,ee,312.50,36.56,102.56,39.85,40.20,37.03,-0.47,937.50,21.56,14.99,1.00
Bd_10,oh,750.00,8.62,187.50,11.92,9.99,16.54,-7.92,875.00,1.32,7.30,1.00
Bd_10,oh,609.38,15.82,171.88,7.04,17.76,11.05,4.77,1000.00,6.98,8.85,1.00
Bd_10,oh,750.00,-0.79,125.00,8.04,-2.13,18.95,-19.74,1000.00,1.04,-1.83,1.00
Bd_10,A,750.00,-3.00,125.00,2.80,1.24,16.53,-19.53,937.50,-4.01,1.00,1.00
Bd_10,ee,437.50,17.12,93.75,36.87,34.15,36.87,-19.75,906.25,18.07,-0.95,1.00
Bd_100,aa,437.50,34.37,137.61,49.51,39.56,49.51,-15.14,937.50,25.26,9.11,1.00
Bd_100,A,406.25,48.38,125.00,42.56,45.34,21.66,26.71,906.25,29.95,18.43,1.00
Bd_100,ee,832.03,33.38,97.66,45.47,44.74,45.47,-12.10,917.97,29.72,3.66,1.00
Bd_101,i,468.75,47.10,125.00,45.69,44.03,47.31,-0.21,906.25,27.60,19.49,1.00
Bd_101,A,281.25,41.27,93.75,42.37,45.92,18.94,22.33,906.25,12.97,28.29,1.00
Bd_102,aa,375.00,33.81,125.00,42.42,36.51,42.42,-8.60,937.50,7.64,26.17,1.00
Bd_103,A,281.25,45.90,156.25,46.19,45.90,46.19,-0.28,875.00,21.73,24.17,1.00
Bd_104,A,312.50,48.95,156.25,50.87,48.95,50.87,-1.92,875.00,7.41,41.55,1.00
Bd_104,oh,343.75,40.49,125.00,42.80,41.85,42.80,-2.30,906.25,16.88,23.62,1.00
Bd_105,i,515.63,23.53,109.38,25.97,33.61,12.86,10.67,906.25,15.92,7.60,1.00
Bd_105,oh,546.88,25.50,203.13,12.76,5.06,27.26,-1.76,1000.00,8.11,17.39,1.00
Bd_105,A,437.50,37.33,156.25,38.29,39.37,10.87,26.46,1000.00,13.90,23.42,1.00
Bd_106,oh,437.50,24.77,125.00,27.35,32.02,29.32,-4.55,937.50,5.03,19.74,1.00
Bd_108,A,406.25,23.09,125.00,38.46,37.28,38.46,-15.37,921.88,6.63,16.47,1.00
Bd_11,aa,375.00,37.99,125.00,49.39,40.77,49.39,-11.40,890.63,20.06,17.93,1.00
Bd_11,A,281.25,34.17,125.00,37.16,34.17,37.16,-3.00,968.75,5.37,28.80,1.00
Bd_110,i,343.75,53.54,187.50,51.12,53.54,24.70,28.84,1031.25,23.18,30.36,1.00
Bd_111,ee,250.00,41.23,125.00,39.62,41.23,34.73,6.50,1000.00,3.24,37.99,1.00
Bd_111,i,281.25,54.07,125.00,48.67,54.07,24.09,29.98,968.75,23.61,30.46,1.00
Bd_111,ee,281.25,42.38,93.75,44.53,42.99,44.53,-2.15,968.75,8.51,33.87,1.00
Bd_111,ee,265.63,24.54,93.75,37.38,32.42,38.09,-13.55,984.38,-3.39,27.93,1.00
Bd_112,ee,812.50,33.77,125.00,44.14,46.33,40.43,-6.66,937.50,35.88,-2.11,1.00
Bd_112,A,296.88,30.83,203.13,42.76,29.91,42.76,-11.93,1000.00,8.96,21.87,1.00
Bd_113,i,343.75,44.85,187.50,51.80,49.36,51.80,-6.95,1031.25,23.30,21.56,1.00
Bd_113,A,578.13,31.20,62.50,24.66,42.56,15.80,15.40,968.75,23.27,7.93,1.00
Bd_113,A,406.25,40.64,155.65,41.79,36.41,43.18,-2.54,906.25,15.47,25.17,1.00
Bd_113,i,531.25,30.55,93.75,42.13,43.41,16.81,13.74,906.25,23.65,6.90,1.00
