Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
abd_1,sil,0,0.17,1173.448168,562.5,43.15510357,125,44.64917835,44.75293249,20.84903307,22.3060705,1000,33.86627146,9.28883211,250,20.27142103,140.625,38.51356842,33.66510257,38.51356842,-18.24214739,1000,-1.595054784,21.86647581,234.375,35.29685643,125,40.94175208,37.33207808,40.94175208,-5.644895652,1000,-3.760215981,39.05707241
abd_1,b,0.17,0.3,1480.548775,593.75,47.79357105,156.25,45.86817228,45.56625143,47.79357105,0,906.25,39.93406188,7.859509174,812.5,56.53690063,125,47.79937411,47.28885433,56.53690063,0,937.5,45.1820459,11.35485473,812.5,56.42410036,125,46.50537466,47.59154538,16.57365967,39.85044069,968.75,45.16796621,11.25613414
abd_1,A,0.3,0.39,515.384627,343.75,50.95267594,156.25,46.95657472,50.95267594,25.43066857,25.52200736,968.75,20.61923183,30.33344411,562.5,49.4195432,156.25,47.37764298,48.48265654,16.17967494,33.23986827,937.5,33.31093167,16.10861153,437.5,39.70294692,156.25,45.18527198,45.95142702,20.97963825,18.72330867,875,18.00519713,21.69774979
abd_1,R,0.39,0.45,656.4785801,312.5,12.53438368,187.5,36.6815948,10.12263048,36.6815948,-24.14721112,875,6.573891279,5.960492406,343.75,52.42557253,187.5,49.47178433,52.42557253,18.00715572,34.4184168,875,13.90070177,38.52487076,218.75,37.13861689,187.5,42.80024369,28.38868587,42.9930281,-5.854411209,968.75,11.74638756,25.39222934
abd_1,i,0.45,0.51,352.5004116,468.75,34.83533684,218.75,40.98676189,34.83533684,42.29404974,-7.458712898,906.25,18.8820476,15.95328925,843.75,9.218155987,187.5,33.11963044,9.991167986,33.11963044,-23.90147445,968.75,6.190870423,3.027285564,1375,0.673157223,187.5,23.61934835,12.71210883,23.61934835,-22.94619112,1031.25,-0.294465635,0.967622858
abd_1,tt,0.51,0.56,338.7448176,437.5,57.9089821,218.75,48.31500999,57.9089821,10.71250256,47.19647953,875,38.93572628,18.97325582,468.75,64.13019727,218.75,49.31521332,64.13019727,23.77125222,40.35894505,906.25,34.50838778,29.62180949,468.75,57.49289371,218.75,50.68742684,58.42982517,0.010970689,57.48192302,906.25,39.60384981,17.8890439
abd_1,ee,0.56,0.64,438.5318911,437.5,55.9295126,218.75,49.9074153,55.9295126,19.42432982,36.50518278,843.75,47.81646553,8.113047072,500,25.44566057,218.75,43.5470597,32.55149537,43.67184656,-18.22618599,843.75,28.26927151,-2.823610941,968.75,21.33277547,187.5,43.57960789,29.65400838,43.57960789,-22.24683242,968.75,21.33277547,0
abd_1,b,0.64,0.7,463.4418565,468.75,34.75765013,203.125,44.820395,36.24294728,44.820395,-10.06274486,921.875,19.01859808,15.73905205,437.5,62.92573805,218.75,50.61878587,62.92573805,13.1076166,49.81812145,906.25,49.96096915,12.96476889,437.5,61.55793673,218.75,53.07536644,61.55793673,18.4633485,43.09458823,875,35.31816321,26.23977352
abd_1,oh,0.7,0.78,430.8014985,421.875,55.80310907,218.75,52.6744618,55.80310907,33.53289886,22.27021021,843.75,29.86618046,25.93692861,656.25,0.085884799,203.125,5.551277654,25.72668081,6.799974536,-6.714089737,890.625,11.74803769,-11.66215289,343.75,13.97172821,203.125,20.98416077,16.12542832,34.71541268,-20.74368446,953.125,6.906909655,7.064818559
abd_1,s,0.78,0.88,497.8881346,218.75,26.90494256,156.25,44.45450709,30.00780256,44.45450709,-17.54956453,875,1.45994402,25.44499854,406.25,45.25984341,187.5,52.1643961,57.96344524,1.650977973,43.60886544,937.5,33.9746371,11.28520631,343.75,57.91825782,171.875,50.95065318,57.91825782,8.049836883,49.86842093,875,27.57508016,30.34317766
