Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
chan_00,sil,0,0.7,1485.610017,765.625,43.65297127,125,45.37158552,35.21116448,45.37158552,-1.718614245,890.625,43.23668128,0.416289993,765.625,44.8877434,125,45.20252792,38.49929981,45.20252792,-0.314784527,890.625,41.55143385,3.336309544,640.625,46.29290972,125,45.74403523,40.19075834,46.29290972,0,1000,34.85971573,11.43319399
chan_00,h,0.7,0.86,1714.120399,625,41.8371999,125,44.68003743,39.8246739,44.68003743,-2.842837528,906.25,32.72010863,9.117091279,531.25,44.72139083,125,44.41649058,39.78099802,44.72139083,0,937.5,34.26406036,10.45733047,437.5,40.29892782,125,44.4224596,40.63773674,44.4224596,-4.123531788,968.75,29.80098791,10.4979399
chan_00,A,0.86,0.97,783.4531748,406.25,40.20444233,125,41.9525803,39.01447255,41.9525803,-1.748137968,968.75,22.20557221,17.99887012,406.25,40.95331785,125,41.46077425,39.18577343,41.46077425,-0.507456402,968.75,19.34789494,21.60542292,375,26.75863748,127.7524925,35.89919216,25.26617996,35.89919216,-9.140554681,906.25,10.70247947,16.05615801
chan_00,oh,0.97,1.04,570.505255,593.75,46.09305513,140.625,45.20711501,41.31682407,46.09305513,0,890.625,28.73116302,17.36189211,609.375,47.21184955,156.25,45.34197312,40.90444199,47.21184955,0,906.25,25.90143398,21.31041558,609.375,46.46886176,156.25,45.49499005,41.25695994,46.46886176,0,937.5,30.31305567,16.15580609
chan_00,R,1.04,1.09,437.8592141,437.5,40.58609955,170.7830982,42.10332346,40.72192418,42.10332346,-1.517223906,875,23.12401337,17.46208619,375,30.53801775,134.0705556,34.91971216,30.16447653,34.91971216,-4.381694415,937.5,-2.710280834,33.24829858,1437.5,0.471416501,140.3046918,29.75636141,18.13026931,29.75636141,-29.28494491,937.5,-9.484446718,9.95586322
chan_00,A,1.09,1.19,588.690133,281.25,24.89469782,125,35.89059095,24.89469782,35.89059095,-10.99589314,937.5,-7.800108061,32.69480588,281.25,16.0227585,125,32.98614671,24.37215523,32.98614671,-16.96338821,937.5,-7.939298976,23.96205748,500,2.809070781,125,30.93135087,23.1155843,30.93135087,-28.12228009,937.5,-5.263520027,8.072590808
chan_00,rr,1.19,1.22,470.3565157,343.75,32.6375192,125,39.64263081,39.03050529,39.64263081,-7.005111608,906.25,9.195762824,23.44175638,281.25,41.90000467,125,43.9203623,45.83019966,-5.23726249,47.13726716,1000,9.382759854,32.51724482,281.25,39.59673489,125,42.72182472,42.03055469,42.72182472,-3.125089826,906.25,3.376796184,36.21993871
chan_00,dd,1.22,1.31,278.2825599,1718.75,-11.60379114,125,21.45748105,8.888595144,21.45748105,-33.06127219,890.625,-21.42395643,9.820165293,609.375,-0.68891835,140.625,-4.252927157,0.696128383,3.572299604,-4.261217955,968.75,-16.73423716,16.04531881,1078.125,7.59956093,125,5.907279704,7.216103596,9.561732657,-1.962171727,984.375,6.575098472,1.024462458
chan_00,i,1.31,1.39,314.7413305,250,17.27658769,125,25.81803856,17.27658769,25.81803856,-8.541450873,1000,-4.596551195,21.87313889,312.5,41.50860493,125.4322715,38.65840409,42.37362317,10.11012263,31.3984823,906.25,4.824646073,36.68395886,343.75,38.10757973,125,39.43724374,42.32460694,14.8609537,23.24662602,968.75,9.744074714,28.36350501
chan_00,tt,1.39,1.49,1732.228849,406.25,45.43467746,125.4698037,41.34285307,43.03563415,8.177195172,37.25748229,968.75,13.01452435,32.42015311,406.25,43.65212199,154.0470166,41.67181703,41.71693211,7.690889004,35.96123299,875,20.68582661,22.96629538,406.25,41.6346285,154.8117487,42.22530771,41.0502624,42.22530771,-0.590679218,875,20.8926002,20.74202829
chan_00,i,1.49,1.54,248.0773634,406.25,40.17107478,140.625,44.01577863,36.61298253,44.01577863,-3.844703858,953.125,10.73058249,29.44049228,1718.75,22.2508907,140.625,16.82503755,8.91286284,22.2508907,0,1015.625,-0.350566467,22.60145717,1250,8.330485342,140.625,12.36770612,17.04895507,9.979104754,-1.648619412,1015.625,4.249787478,4.080697864
chan_00,oh,1.54,1.6,397.9975603,500,6.893215842,156.25,26.88492192,11.75521512,26.88492192,-19.99170608,875,10.89934149,-4.006125648,593.75,38.2128063,156.25,43.07882701,34.38096032,43.07882701,-4.866020712,875,28.26517414,9.94763216,593.75,40.59883756,156.25,41.85976902,35.07233626,41.85976902,-1.260931467,875,29.97355769,10.62527987
chan_00,s,1.6,1.71,373.9817855,593.75,37.46297651,155.0685096,42.92973509,35.31959799,42.92973509,-5.46675858,875,32.00769084,5.455285676,593.75,36.24156518,155.2928424,43.46462782,33.03873681,43.46462782,-7.223062641,875,28.74251709,7.499048089,593.75,40.0219625,156.25,43.73799158,34.20159533,43.73799158,-3.716029084,875,31.50845131,8.513511187
chan_00,aa,1.71,1.76,457.0671726,593.75,40.19731786,156.25,42.28992136,34.58982408,42.28992136,-2.092603503,875,29.78591157,10.41140629,593.75,39.84120481,156.25,41.86997106,34.71577493,41.86997106,-2.028766249,875,28.45453794,11.38666687,468.75,34.16085076,156.25,40.85277661,35.39914502,40.85277661,-6.691925845,875,26.50803264,7.652818127
chan_00,h,1.76,1.82,657.5068493,296.875,13.47255444,140.625,24.71296283,13.47255444,25.68380701,-12.21125257,1000,-1.466015119,14.93856956,1187.5,-2.60999672,140.625,13.16332097,5.804334486,13.16332097,-15.77331769,1015.625,-12.76949347,10.15949675,609.375,15.78117902,140.625,26.65505836,11.80334335,26.65505836,-10.87387934,890.625,12.82398084,2.957198183
chan_00,oh,1.82,1.87,646.1600411,593.75,43.29731373,156.25,41.41752624,38.91574424,43.29731373,0,875,31.58308715,11.71422658,562.5,43.43130515,156.25,41.43081846,38.52600244,43.43130515,0,1000,26.76560799,16.66569716,562.5,42.48614164,156.25,42.28715462,37.97957596,42.48614164,0,1000,23.08603295,19.40010869
chan_00,k,1.87,1.97,276.5643794,437.5,37.99161423,129.761899,40.55863966,36.24041925,40.55863966,-2.567025424,1000,13.57845441,24.41315982,312.5,24.67739223,125,34.949227,28.45748774,34.949227,-10.27183476,937.5,-1.250283712,25.92767595,375,31.71756742,132.6037969,36.18043075,31.36073661,36.18043075,-4.462863327,937.5,-1.241280719,32.95884814
chan_00,A,1.97,2.03,593.9501745,437.5,45.17121009,156.25,44.62322845,43.49901917,45.17121009,0,1000,12.88726794,32.28394215,406.25,37.85418354,156.25,44.35947581,43.77794782,44.35947581,-6.505292266,875,11.24344219,26.61074135,312.5,39.78227458,156.25,42.81983787,42.04713264,42.81983787,-3.037563282,875,10.0554321,29.72684249
chan_00,rr,2.03,2.07,425.9246373,218.75,10.40311428,125,33.1289878,22.15524355,33.1289878,-22.72587352,906.25,-9.872401187,20.27551546,218.75,21.06686815,125,31.20581447,24.37474839,31.20581447,-10.13894632,906.25,-13.69749542,34.76436356,1843.75,-5.937194128,125,18.66484059,10.01854417,18.66484059,-24.60203472,906.25,-6.263990778,0.32679665
chan_00,i,2.07,2.15,399.614997,531.25,37.59240597,125,38.89381138,33.11682312,38.89381138,-1.30140541,906.25,21.12988268,16.46252329,593.75,42.60070722,125,39.50611028,38.76723191,42.60070722,0,937.5,23.79269307,18.80801415,718.75,42.95751599,125,39.24107146,37.75584578,42.95751599,0,937.5,31.75440277,11.20311322
