FFlename,Segment_label,BegFnnFng,End,F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1,,
chan_00,F,6.8,6.87,362.4876097,234.375,32.61430125,125,35.53519493,32.61430125,35.53519493,-2.92089368,921.875,-5.433544023,38.04784528,578.125,-5.929989995,109.375,28.15131313,22.33617338,28.15131313,-34.08130312,968.75,-13.09999699,7.170006995,234.375,22.23661272,125,33.04601823,26.26075634,33.04601823,-10.80940551,968.75,-3.457699264,25.69431199,m,NV
chan_00,B,12.34,12.4,365.5306403,437.5,31.51943069,125,40.44784844,36.26259074,40.44784844,-8.928417748,906.25,21.3344737,10.18495699,625,37.33846031,125,40.97577776,37.37125978,40.97577776,-3.637317449,906.25,23.0090584,14.32940191,593.75,36.75197546,125,41.07503313,37.75807862,41.07503313,-4.323057669,906.25,18.61052826,18.1414472,m,NV
chan_01,B,1.76,1.81,869.7567654,562.5,38.10423225,141.6612791,41.43355826,37.1433345,41.43355826,-3.329326009,1000,16.3709332,21.73329906,562.5,38.86702396,141.5680142,41.53951687,35.59174925,41.53951687,-2.672492913,1000,17.43170427,21.43531969,562.5,37.50835882,141.0094317,41.22444676,34.64263754,41.22444676,-3.716087942,937.5,16.15795637,21.35040245,m,NV
chan_0101,B,1.03,1.09,757.3073346,1406.25,8.72364991,156.25,25.20062908,13.49902991,25.45667041,-16.7330205,968.75,2.167124915,6.556524995,781.25,0.743838277,156.25,16.39095248,2.028214707,16.39095248,-15.6471142,937.5,-1.344815309,2.088653586,968.75,-3.483488581,156.25,13.58634358,3.404682492,13.58634358,-17.06983216,937.5,-1.151896708,-2.331591873,m,NV
chan_0101,B,6.81,6.88,648.5507864,578.125,39.0384321,140.625,40.83304123,36.35869208,40.83304123,-1.794609131,1000,23.38566326,15.65276884,703.125,39.37412645,140.625,40.6680797,36.56717728,40.6680797,-1.293953255,984.375,32.72545851,6.64866794,703.125,39.36832652,140.625,41.20896991,37.17510703,41.20896991,-1.840643387,984.375,33.5186689,5.849657616,m,NV
chan_0101,B,7.94,8.03,698.7389962,437.5,39.3803959,152.8398678,36.66094097,35.27715021,39.3803959,0,875,16.3441692,23.0362267,437.5,37.40738254,125.5392233,37.33779396,35.89087247,37.85461156,-0.447229014,968.75,15.27794032,22.12944222,406.25,39.75893762,152.9950805,37.33204122,37.09427167,39.75893762,0,1000,13.38242515,26.37651247,m,NV
chan_0101,F,8.52,8.59,350.8194162,312.5,26.75894988,140.8339288,31.36310162,29.72947603,31.65006827,-4.891118389,937.5,3.835446556,22.92350333,375,22.89518399,141.3710532,27.24278311,20.90893086,27.24278311,-4.347599117,1000,-8.563902533,31.459086523,437.5,30.5124272,156.5042261,35.44456131,31.48956656,35.44456131,-4.932134104,875,14.72878352,15.78364369,m,NV
chan_0102,B,2.67,2.75,709.7944156,531.25,29.81557948,96.56178897,31.12424298,35.86022344,3.433653333,26.38192615,937.5,14.69223477,15.12334471,687.5,31.00007786,93.75,29.29051531,32.84788226,11.21233767,19.78774019,968.75,17.95262879,13.04744907,593.75,20.33849392,93.75,26.0783961,30.17784237,2.49204284,17.84645108,906.25,8.95095596,11.38753796,m,NV
chan_0107,F,1.08,1.15,329.3781027,312.5,6.879716898,144.5501157,21.59566617,6.879716898,21.59566617,-14.71594927,1000,-8.350366085,15.23008298,375,35.96566463,145.9375601,34.57853241,33.83435249,35.96566463,0,1000,7.558873397,28.406791233,437.5,30.92825169,179.3020523,39.31561752,39.05459034,40.07577958,-9.147527895,875,18.3965709,12.53168079,m,NV
chan_0108,F,3.46,3.56,361.8973645,234.375,25.71397812,140.625,36.59870359,23.85983464,36.59870359,-10.88472548,953.125,-6.874041191,32.58801931,562.5,-5.241901376,140.625,19.01619539,5.247659534,19.01619539,-24.25809677,921.875,-10.12248568,4.880584304,2046.875,17.86897472,140.625,18.75719094,6.525242364,19.92843819,-2.059463472,1015.625,-0.890180394,18.75915511,m,NV
chan_011,F,4.43,4.48,356.9985819,531.25,30.86813329,93.75,29.36289233,31.39578339,11.05594227,19.81219102,906.25,7.999089531,22.86904376,593.75,31.96295809,93.75,28.30290335,31.04833574,15.48515929,16.4777988,968.75,13.8940031,18.06895499,687.5,25.05407206,93.75,26.67110676,25.63679793,26.67110676,-1.617034701,968.75,7.410142648,17.64392941,m,NV
chan_0110,B,0.99,1.05,552.9827257,515.625,36.55054869,156.25,40.87924921,37.43439588,40.87924921,-4.328700514,953.125,24.31458716,12.23596154,781.25,38.55575578,156.25,40.89134589,36.90438775,40.89134589,-2.335590117,937.5,29.33299316,9.22276262,781.25,38.84658086,156.25,40.50047298,35.89703402,40.50047298,-1.653892124,953.125,32.44276527,6.403815582,m,NV
chan_0111,B,0.83,0.96,639.2523147,812.5,6.957242677,125,10.69089793,7.801633101,14.20324445,-7.246001776,953.125,6.243140126,0.714102551,671.875,2.316923621,140.625,8.95672056,0.572068289,14.95367676,-12.63675314,953.125,1.611619403,0.705304218,515.625,4.620506398,156.25,24.07910503,12.34890106,24.07910503,-19.45859864,937.5,2.729006406,1.891499991,m,NV
chan_0112,F,2.51,2.57,418.6680247,312.5,33.68573637,156.25,36.00902508,36.05265035,10.0392786,23.64645778,1000,4.488432659,29.19730371,312.5,41.15043529,156.25,40.27113787,42.45404282,9.148128233,32.00230706,875,7.181248156,33.969187134,312.5,34.52687004,156.25,38.56783492,37.49746872,38.56783492,-4.040964882,1000,0.73104611,33.79582393,m,NV
chan_0112,F,3.67,3.71,471.403239,656.25,34.8983376,109.375,32.00561803,33.9965576,3.002491057,31.89584655,984.375,22.41365919,12.48467842,640.625,31.38034064,109.375,29.81150055,32.06719107,5.394961254,25.98537939,953.125,26.21138524,5.1689554,718.75,30.1490273,109.375,26.46057817,29.72645454,1.383954218,28.76507309,921.875,20.59075248,9.558274827,m,NV
chan_0112,B,5.36,5.42,769.7628495,406.25,38.10599183,125,37.34604822,35.80378642,38.10599183,0,937.5,31.63216736,6.47382447,531.25,45.28973384,125,37.93306044,37.4810803,45.28973384,0,921.875,34.44477128,10.84496256,640.625,44.75035973,125,38.50127424,36.96975726,44.75035973,0,906.25,34.16413944,10.58622029,m,NV
chan_0112,B,8.36,8.44,723.9697525,437.5,39.48485375,109.375,35.42561956,36.64583786,6.453420118,33.03143363,921.875,8.05057969,31.43427406,484.375,33.23138831,93.75,30.28983042,33.28377418,3.448033122,29.78335518,984.375,3.069838097,30.161550213,437.5,19.88901287,93.75,17.28698743,17.16345469,28.89452132,-9.005508454,937.5,-10.10403561,29.99304848,m,NV
chan_0114,B,3.45,3.51,661.7191793,250,22.06554019,125,32.51779556,22.06554019,32.51779556,-10.45225537,937.5,-7.98163968,30.04717987,343.75,8.103269245,153.703067,19.78577164,5.727258558,19.78577164,-11.68250239,937.5,-9.555149364,17.658418609,593.75,4.715612296,126.6123393,6.477108643,10.72169865,5.46034598,-0.744733684,937.5,-4.83351702,9.549129316,m,NV
chan_0115,B,2.89,2.96,600.3530252,250,24.07202847,125,34.68405704,24.07202847,34.68405704,-10.61202857,937.5,-1.934421402,26.00644987,312.5,13.61832091,125,16.14535372,12.5976023,19.03185818,-5.413537273,906.25,-5.197777522,18.816098432,468.75,8.711303922,125,-0.508570656,7.15329121,11.48775017,-2.776446245,906.25,-2.891354654,11.60265858,m,NV
chan_0115,E,6.32,6.45,515.3162638,312.5,35.46036868,156.25,35.9759236,36.41115639,7.236844984,28.2235237,875,1.104039742,34.35632894,312.5,36.66860968,156.25,36.36941006,37.43777274,7.787023671,28.88158601,875,1.976778289,34.691831391,312.5,31.9819087,156.25,34.50634282,33.72183567,34.50634282,-2.524434114,875,-0.975877237,32.95778594,m,NV
chan_0115,F,6.81,6.89,455.3711692,312.5,21.65302867,155.0944761,36.77730786,28.09346919,36.77730786,-15.12427919,875,-2.847492931,24.5005216,312.5,6.360613651,125,22.76576047,5.182460877,23.97162075,-17.6110071,1000,-15.88600398,22.246617631,468.75,1.66942036,125,9.070994823,7.918843207,10.93340072,-9.263980358,906.25,-12.25230159,13.92172195,m,NV
chan_0116,B,2.58,2.68,491.6118417,281.25,29.07777486,156.25,34.09249318,29.07777486,34.09249318,-5.01471832,1000,5.078391839,23.99938303,312.5,26.22823906,125,32.41946514,27.61484189,32.41946514,-6.191226073,937.5,5.12724704,21.10099202,312.5,21.82600313,125.1967049,30.91176556,24.99745246,30.91176556,-9.085762435,906.25,4.771591286,17.05441184,m,NV
chan_0116,F,5.94,6,393.4197767,562.5,44.02705646,156.25,40.918894,39.45193826,44.02705646,0,875,29.48154762,14.54550884,687.5,43.29373676,125.1660955,39.70979261,40.03038433,11.91725524,31.37648152,968.75,24.23627403,19.05746273,687.5,44.51021361,125,40.4435973,39.6222988,44.51021361,0,968.75,30.90392941,13.6062842,m,NV
