Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_00,aa,3.12,3.19,459.397067,1031.25,5.440373367,125,28.66174888,20.28069203,28.66174888,-23.22137551,1000,4.362618199,1.077755168,1156.25,-4.578889912,125,-1.227968225,3.59486294,-3.466281159,-1.112608753,968.75,-12.5538923,7.975002388,906.25,-13.90620247,125,-4.399514147,1.603589787,8.472750435,-22.3789529,906.25,-13.90620247,0,m,VN
chan_00,i,12.2,12.28,306.1662816,375,32.71983473,125,37.34446942,35.41208333,37.34446942,-4.624634683,1000,23.03451609,9.685318645,625,34.10658108,125,38.02458216,34.35694736,38.02458216,-3.918001086,1000,22.2928809,11.81370018,625,33.02683486,125,38.22012916,34.22066007,38.22012916,-5.1932943,906.25,21.1295851,11.89724977,m,VN
chan_01,A,1.6,1.68,470.0495111,937.5,24.87535116,125,38.65131708,35.25003998,38.65131708,-13.77596592,937.5,24.87535116,0,687.5,36.50155657,125,39.02337284,35.28511767,39.02337284,-2.521816268,968.75,28.93954205,7.56201452,687.5,36.31461886,125,39.34318923,35.84045922,39.34318923,-3.028570375,968.75,26.40742951,9.907189349,m,VN
chan_0101,i,0.89,0.95,342.3614286,781.25,28.53370142,156.25,38.98645867,35.45060726,38.98645867,-10.45275724,937.5,32.04085807,-3.507156643,656.25,36.13106824,156.25,39.15711131,36.00477813,39.15711131,-3.026043072,937.5,36.84981969,-0.71875145,625,38.24649163,156.25,39.21648789,36.19978998,39.21648789,-0.969996262,937.5,33.08925652,5.1572351,m,VN
chan_0101,A,8.38,8.45,524.2711406,375,26.49763144,125,38.46681259,35.04021687,38.46681259,-11.96918116,968.75,-1.460862339,27.95849378,375,34.56182715,125,39.05897043,36.16752164,39.05897043,-4.497143283,968.75,-9.502791031,44.064618181,312.5,27.72275702,125,37.09786954,29.9030812,37.09786954,-9.375112518,968.75,-6.508085543,34.23084256,m,VN
chan_0101,aa,10.53,10.65,797.0902024,1000,15.62411149,125,35.2496556,34.41542071,35.59653234,-19.97242085,1000,15.62411149,0,1062.5,12.88479694,125,32.9874931,24.0551494,32.9874931,-20.10269616,1000,9.893808889,2.990988051,375,15.92118323,125,34.37679359,31.55944755,34.39090822,-18.46972499,1000,7.37594542,8.545237812,m,VN
chan_0103,aa,2.15,2.23,596.7424431,812.5,6.623504072,125,37.38018105,35.20339634,37.66366946,-31.04016539,937.5,17.75023524,-11.12673117,437.5,30.16032806,125,37.8906115,37.5512674,38.41826051,-8.25793245,1000,18.72799518,11.43233288,312.5,33.378839,125,35.84472619,28.08198887,35.84472619,-2.465887192,937.5,17.40776775,15.97107125,m,VN
chan_0103,aa,3.01,3.13,488.3737875,312.5,33.1798148,125,32.54777081,32.32739614,33.1798148,0,1000,9.832876422,23.34693837,312.5,27.52895748,125,32.40016801,30.410687,32.40016801,-4.871210535,1000,5.117230551,22.411726929,312.5,32.04093727,125,36.1006359,36.11449469,32.20295033,-0.162013052,937.5,10.73561988,21.3053174,m,VN
chan_0112,A,2.32,2.45,870.9285519,437.5,36.25877756,125,37.73649327,34.56922802,37.73649327,-1.477715712,937.5,7.780549509,28.47822805,437.5,35.79419948,125,38.63887383,35.1922966,38.63887383,-2.84467434,968.75,8.545678939,27.248520541,437.5,39.69118339,127.1102395,39.28882297,36.51317497,39.69118339,0,1000,10.23548156,29.45570183,m,VN
chan_0112,aa,3.45,3.51,482.221873,312.5,27.65582854,125,40.082452,34.37358999,40.082452,-12.42662346,968.75,9.680897433,17.97493111,375,25.83727728,125,39.82522756,34.78984573,39.82522756,-13.98795028,968.75,2.447972986,23.389304294,312.5,28.47943666,125,39.76558845,35.35660962,39.76558845,-11.28615179,968.75,1.675839028,26.80359763,m,VN
chan_0112,aa,5.21,5.28,480.79585,750,28.6389481,156.25,39.27659799,34.11758541,39.27659799,-10.63764989,906.25,30.58396135,-1.945013255,593.75,34.91719046,156.25,39.54040478,34.60568607,39.54040478,-4.623214318,906.25,30.79653108,4.12065938,562.5,33.23963124,156.25,39.6257823,35.15279067,39.6257823,-6.386151061,875,30.37586103,2.863770215,m,VN
chan_0112,i,8.25,8.28,585.4100134,656.25,24.49532625,125,38.50524495,36.45484171,38.50524495,-14.0099187,937.5,22.94064294,1.554683309,656.25,37.81828486,125,38.66709344,35.81300115,39.31472022,-1.496435361,1000,26.79760628,11.02067858,656.25,39.11753297,125,39.85008171,36.03481827,39.85008171,-0.732548743,906.25,30.27956427,8.837968695,m,VN
chan_0114,oh,3.33,3.37,500.717357,625,29.04249462,156.25,38.2240834,36.0369544,38.2240834,-9.181588781,937.5,28.10091785,0.941576768,500,35.10577685,156.25,38.72984639,36.0502201,38.72984639,-3.624069541,937.5,29.60270409,5.50307276,468.75,38.63687796,156.25,39.05947496,36.4483582,39.05947496,-0.422597002,906.25,20.92181613,17.71506183,m,VN
chan_0115,ee,1.95,2.11,428.243947,406.25,35.70607829,125,35.56815903,33.14747839,35.70607829,0,906.25,13.19976583,22.50631246,406.25,37.3525594,125,36.22224771,34.77172125,37.3525594,0,906.25,12.11225738,25.24030202,406.25,35.43619614,125,35.11241665,29.50955567,35.43619614,0,906.25,4.906714369,30.52948177,m,VN
chan_0115,oh,2.78,2.82,359.5895078,593.75,28.02310657,156.25,39.47586366,35.46284127,39.47586366,-11.45275709,906.25,26.60885004,1.414256528,468.75,39.22922094,156.25,40.28934499,35.9966236,40.28934499,-1.060124049,906.25,28.43345778,10.79576316,437.5,39.01811507,156.25,40.10288024,35.98866504,40.10288024,-1.084765171,906.25,19.63095492,19.38716014,m,VN
chan_0115,i,3.16,3.32,313.1496534,312.5,27.3314581,125,38.31614974,34.06569058,38.31614974,-10.98469164,1000,3.086206826,24.24525127,375,41.07799231,125,40.31756417,38.38832834,41.2242356,-0.146243291,906.25,6.435433205,34.642559105,406.25,43.02508045,125,41.38869804,39.54280952,43.02508045,0,937.5,6.915956976,36.10912347,m,VN
chan_0115,i,6.09,6.2,506.898285,468.75,0.903870789,140.625,5.329517865,10.8265042,4.000167808,-3.096297018,1000,-8.838848435,9.742719224,671.875,26.88412201,140.625,29.36195095,20.79536546,29.36195095,-2.477828937,953.125,14.90122296,11.98289905,640.625,23.45727483,125,38.10652481,31.3880184,38.10652481,-14.64924997,921.875,15.59754023,7.859734602,m,VN
chan_0116,i,2.42,2.52,290.6828065,468.75,39.98869315,156.25,41.96254949,37.93764586,41.96254949,-1.973856337,906.25,22.9921948,16.99649835,734.375,40.0999472,156.25,41.46113838,38.67270865,42.2017507,-2.101803505,906.25,25.54804352,14.55190368,750,41.80201506,156.25,42.36626817,37.96408881,42.42473389,-0.622718829,921.875,26.24564928,15.55636578,m,VN
chan_0116,aa,5.75,5.86,772.7806469,406.25,40.01828591,125,38.97718636,37.88731612,40.01828591,0,937.5,-2.497550468,42.51583638,406.25,39.46581511,153.0798461,38.89963898,38.71085641,39.46581511,0,875,10.00935108,29.45646403,375,34.31684334,125,38.37459164,37.71040934,38.39098175,-4.074138409,968.75,-0.556743707,34.87358705,m,VN
chan_0116,oh,7.23,7.29,426.5190523,531.25,27.17804639,125,36.63168021,34.87991375,36.63168021,-9.453633813,906.25,11.20643558,15.97161081,406.25,34.86767711,125,36.53546343,35.37722028,36.53546343,-1.667786317,906.25,10.15370271,24.7139744,375,33.20377932,125,34.83806292,32.98510025,34.83806292,-1.634283606,906.25,11.41867526,21.78510406,m,VN
chan_0119,aa,3.11,3.2,491.1503224,500,11.86106411,140.625,11.30248254,11.30868042,8.013337412,3.847726701,890.625,6.852902462,5.008161652,375,38.00179943,125,37.25360566,34.60942668,38.00179943,0,890.625,23.42196225,14.57983718,359.375,39.33653136,125,39.10443526,37.1916866,39.33653136,0,968.75,17.66409021,21.67244115,m,VN
chan_0119,A,4.58,4.67,643.06859,625,-21.55721405,125,0.014715507,-5.123162721,0.014715507,-21.57192956,1000,-19.28564004,-2.271574009,750,-6.424756548,125,3.091626814,-7.426788432,6.427850523,-12.85260707,1000,-18.84762658,12.422870032,1000,-17.21293847,125,-2.34278177,-9.789974986,-2.34278177,-14.8701567,1000,-17.21293847,0,m,VN
chan_0120,ee,11.76,11.92,392.628719,593.75,34.25683721,125,36.90147105,32.41684754,36.90147105,-2.644633835,937.5,26.95061531,7.306221896,593.75,34.41947815,125,38.50470676,33.76808881,38.50470676,-4.08522861,968.75,36.64440185,-2.2249237,625,35.76502406,125,40.53781119,36.51012708,40.53781119,-4.772787127,968.75,26.549727,9.215297056,m,VN
chan_0122,aa,1.34,1.39,508.3161787,781.25,34.81723663,156.25,38.22484869,34.03795069,38.22484869,-3.40761206,937.5,27.0470893,7.770147331,656.25,27.86994553,156.25,38.25276864,34.45582555,38.25276864,-10.38282311,937.5,32.31989816,-4.44995263,468.75,37.28413016,156.25,38.4864598,35.62189438,38.4864598,-1.202329647,937.5,22.80370686,14.4804233,m,VN
chan_0122,oh,1.66,1.76,478.8410181,625,37.66153058,125,39.74313505,36.37679573,39.74313505,-2.081604467,906.25,25.46291767,12.19861292,625,38.25097648,125,41.1789659,37.42220353,41.1789659,-2.927989422,906.25,40.33383248,-2.082856,531.25,38.89847909,125,42.61451394,39.41413945,42.61451394,-3.716034842,906.25,24.17936332,14.71911578,m,VN
