Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_00,aa,3.12,3.19,459.397067,1031.25,5.440373367,125,28.66174888,20.28069203,28.66174888,-23.22137551,1000,4.362618199,1.077755168,1156.25,-4.578889912,125,-1.227968225,3.59486294,-3.466281159,-1.112608753,968.75,-12.5538923,7.975002388,906.25,-13.90620247,125,-4.399514147,1.603589787,8.472750435,-22.3789529,906.25,-13.90620247,0,m,VN
chan_00,ee,6.8,6.87,362.4876097,234.375,32.61430125,125,35.53519493,32.61430125,35.53519493,-2.92089368,921.875,-5.433544023,38.04784528,578.125,-5.929989995,109.375,28.15131313,22.33617338,28.15131313,-34.08130312,968.75,-13.09999699,7.170006995,234.375,22.23661272,125,33.04601823,26.26075634,33.04601823,-10.80940551,968.75,-3.457699264,25.69431199,m,NV
chan_00,i,12.2,12.28,306.1662816,375,32.71983473,125,37.34446942,35.41208333,37.34446942,-4.624634683,1000,23.03451609,9.685318645,625,34.10658108,125,38.02458216,34.35694736,38.02458216,-3.918001086,1000,22.2928809,11.81370018,625,33.02683486,125,38.22012916,34.22066007,38.22012916,-5.1932943,906.25,21.1295851,11.89724977,m,VN
chan_00,A,12.34,12.4,365.5306403,437.5,31.51943069,125,40.44784844,36.26259074,40.44784844,-8.928417748,906.25,21.3344737,10.18495699,625,37.33846031,125,40.97577776,37.37125978,40.97577776,-3.637317449,906.25,23.0090584,14.32940191,593.75,36.75197546,125,41.07503313,37.75807862,41.07503313,-4.323057669,906.25,18.61052826,18.1414472,m,NV
chan_01,A,1.6,1.68,470.0495111,937.5,24.87535116,125,38.65131708,35.25003998,38.65131708,-13.77596592,937.5,24.87535116,0,687.5,36.50155657,125,39.02337284,35.28511767,39.02337284,-2.521816268,968.75,28.93954205,7.56201452,687.5,36.31461886,125,39.34318923,35.84045922,39.34318923,-3.028570375,968.75,26.40742951,9.907189349,m,VN
chan_01,A,1.76,1.81,869.7567654,562.5,38.10423225,141.6612791,41.43355826,37.1433345,41.43355826,-3.329326009,1000,16.3709332,21.73329906,562.5,38.86702396,141.5680142,41.53951687,35.59174925,41.53951687,-2.672492913,1000,17.43170427,21.43531969,562.5,37.50835882,141.0094317,41.22444676,34.64263754,41.22444676,-3.716087942,937.5,16.15795637,21.35040245,m,NV
chan_0101,i,0.89,0.95,342.3614286,781.25,28.53370142,156.25,38.98645867,35.45060726,38.98645867,-10.45275724,937.5,32.04085807,-3.507156643,656.25,36.13106824,156.25,39.15711131,36.00477813,39.15711131,-3.026043072,937.5,36.84981969,-0.71875145,625,38.24649163,156.25,39.21648789,36.19978998,39.21648789,-0.969996262,937.5,33.08925652,5.1572351,m,VN
chan_0101,aa,1.03,1.09,757.3073346,1406.25,8.72364991,156.25,25.20062908,13.49902991,25.45667041,-16.7330205,968.75,2.167124915,6.556524995,781.25,0.743838277,156.25,16.39095248,2.028214707,16.39095248,-15.6471142,937.5,-1.344815309,2.088653586,968.75,-3.483488581,156.25,13.58634358,3.404682492,13.58634358,-17.06983216,937.5,-1.151896708,-2.331591873,m,NV
chan_0101,oh,6.81,6.88,648.5507864,578.125,39.0384321,140.625,40.83304123,36.35869208,40.83304123,-1.794609131,1000,23.38566326,15.65276884,703.125,39.37412645,140.625,40.6680797,36.56717728,40.6680797,-1.293953255,984.375,32.72545851,6.64866794,703.125,39.36832652,140.625,41.20896991,37.17510703,41.20896991,-1.840643387,984.375,33.5186689,5.849657616,m,NV
chan_0101,A,7.94,8.03,698.7389962,437.5,39.3803959,152.8398678,36.66094097,35.27715021,39.3803959,0,875,16.3441692,23.0362267,437.5,37.40738254,125.5392233,37.33779396,35.89087247,37.85461156,-0.447229014,968.75,15.27794032,22.12944222,406.25,39.75893762,152.9950805,37.33204122,37.09427167,39.75893762,0,1000,13.38242515,26.37651247,m,NV
chan_0101,A,8.38,8.45,524.2711406,375,26.49763144,125,38.46681259,35.04021687,38.46681259,-11.96918116,968.75,-1.460862339,27.95849378,375,34.56182715,125,39.05897043,36.16752164,39.05897043,-4.497143283,968.75,-9.502791031,44.064618181,312.5,27.72275702,125,37.09786954,29.9030812,37.09786954,-9.375112518,968.75,-6.508085543,34.23084256,m,VN
chan_0101,i,8.52,8.59,350.8194162,312.5,26.75894988,140.8339288,31.36310162,29.72947603,31.65006827,-4.891118389,937.5,3.835446556,22.92350333,375,22.89518399,141.3710532,27.24278311,20.90893086,27.24278311,-4.347599117,1000,-8.563902533,31.459086523,437.5,30.5124272,156.5042261,35.44456131,31.48956656,35.44456131,-4.932134104,875,14.72878352,15.78364369,m,NV
